state,year,households,living_quarters,households_norm,living_quarters_norm
Perlis,2024,94900,78600,1.0,1.0
Pulau Pinang,2010,400110,480400,0.0,0.0
Pulau Pinang,2011,410500,491300,0.07166011449065453,0.06749226006191951
Pulau Pinang,2012,420800,499800,0.14269949651700117,0.12012383900928793
Pulau Pinang,2013,430900,508200,0.2123594730671081,0.1721362229102167
Pulau Pinang,2014,440800,516700,0.28064004414097526,0.22476780185758513
Pulau Pinang,2015,450700,525100,0.3489206152148424,0.27678018575851393
Pulau Pinang,2016,460600,533600,0.41720118628870956,0.32941176470588235
Pulau Pinang,2017,470400,542000,0.48479205462445685,0.3814241486068111
Pulau Pinang,2018,480200,550300,0.5523829229602042,0.4328173374613003
Pulau Pinang,2019,489700,558600,0.6179046830815919,0.4842105263157895
Pulau Pinang,2020,495347,587008,0.6568521967032209,0.6601114551083591
Pulau Pinang,2021,507600,600500,0.7413614732050486,0.7436532507739938
Pulau Pinang,2022,519900,614100,0.8261949099937926,0.8278637770897833
Pulau Pinang,2023,532400,627900,0.9124077522587765,0.913312693498452
Pulau Pinang,2024,545100,641900,1.0,1.0
Sabah,2010,590990,621600,0.0,0.0
Sabah,2011,604400,634700,0.0622822906506897,0.05636833046471601
Sabah,2012,617900,642100,0.12498258325205518,0.08820998278829605
Sabah,2013,631200,649600,0.18675398262969672,0.12048192771084337
Sabah,2014,643800,657100,0.2452742557243045,0.1527538726333907
Sabah,2015,655400,664800,0.2991500627002926,0.18588640275387264
Sabah,2016,667000,672500,0.3530258696762807,0.21901893287435456
Sabah,2017,678800,680200,0.40783056987599275,0.2521514629948365
Sabah,2018,690600,688100,0.4626352700757048,0.286144578313253
Sabah,2019,702700,695900,0.5188333101110028,0.31970740103270223
Sabah,2020,728201,777023,0.6372718406019228,0.6687736660929432
Sabah,2021,747200,795700,0.7255120523895778,0.7491394148020654
Sabah,2022,766600,814800,0.8156146950907993,0.8313253012048193
Sabah,2023,786300,834300,0.9071106776276067,0.9152323580034424
Sabah,2024,806300,854000,1.0,1.0
Sarawak,2010,558440,601700,0.0,0.0
Sarawak,2011,570200,613500,0.10832719233603537,0.044680045437334344
Sarawak,2012,582300,622700,0.21978629329403096,0.07951533510034078
Sarawak,2013,594300,632000,0.33032424465733234,0.11472926921620598
Sarawak,2014,606000,641200,0.43809874723655123,0.1495645588792124
Sarawak,2015,617900,650600,0.5477155490051584,0.18515713744793638
Sarawak,2016,630000,659900,0.659174649963154,0.2203710715638016
Sarawak,2017,642100,669300,0.7706337509211496,0.25596365013252553
Sarawak,2018,654600,678700,0.8857774502579219,0.29155622870124953
Sarawak,2019,667000,688100,1.0,0.3271488072699735
Sarawak,2020,618108,779062,0.5496315401621223,0.6715713744793639
Sarawak,2021,627400,800100,0.6352247605011054,0.751230594471791
Sarawak,2022,636700,821500,0.720891672807664,0.8322605073835668
Sarawak,2023,646400,843400,0.8102431834929993,0.9151836425596365
Sarawak,2024,656300,865800,0.9014369933677229,1.0
Selangor,2010,1380490,1595200,0.0,0.0
Selangor,2011,1430900,1644400,0.07277226079060616,0.06454998688008397
Selangor,2012,1479400,1685500,0.14278723100176263,0.11847284177381265
Selangor,2013,1527700,1726800,0.21251347968627518,0.17265809498819207
Selangor,2014,1575200,1768100,0.28108484226421193,0.22684334820257152
Selangor,2015,1622000,1809300,0.3486456794988949,0.2808974022566256
Selangor,2016,1668500,1850300,0.415773434443612,0.33468905799002885
Selangor,2017,1714600,1891000,0.4823237463350411,0.38808711624245606
Selangor,2018,1760000,1931200,0.5478635328832164,0.4408291786932564
Selangor,2019,1804200,1971000,0.6116709902715282,0.4930464445027552
Selangor,2020,1836410,2101896,0.6581695921375353,0.6647808974022567
Selangor,2021,1894200,2164200,0.741595677261303,0.7465232222513776
Selangor,2022,1952800,2227500,0.8261910845679787,0.8295722907373393
Selangor,2023,2012500,2291900,0.9123744602711962,0.9140645499868801
Selangor,2024,2073199,2357400,1.0,1.0
Terengganu,2010,218530,243800,0.0,0.0
Terengganu,2011,223100,250400,0.04712797772506961,0.06232294617563739
Terengganu,2012,227700,254400,0.09456532948334537,0.10009442870632672
Terengganu,2013,232400,258600,0.14303392801897494,0.1397544853635505
Terengganu,2014,237300,262800,0.19356502010931215,0.1794145420207743
Terengganu,2015,242400,267200,0.24615860575435702,0.22096317280453256
Terengganu,2016,247700,271600,0.3008146849541095,0.26251180358829085
Terengganu,2017,253200,276100,0.35753325770856964,0.3050047214353163
Terengganu,2018,258800,280700,0.4152830772403836,0.34844192634560905
Terengganu,2019,264500,285400,0.4740641435495514,0.392823418319169
Terengganu,2020,282373,314449,0.6583788800659998,0.6671293673276676
Terengganu,2021,290400,323000,0.741157058884191,0.7478753541076487
Terengganu,2022,298600,331700,0.8257192946272043,0.830028328611898
Terengganu,2023,306900,340600,0.9113127771475714,0.9140698772426817
Terengganu,2024,315500,349700,1.0,1.0
W.P. Kuala Lumpur,2010,444800,477700,0.0,0.0
W.P. Kuala Lumpur,2011,457900,485400,0.06475531389026198,0.03265479219677693
W.P. Kuala Lumpur,2012,470500,493000,0.12703905091448345,0.0648854961832061
W.P. Kuala Lumpur,2013,483000,500400,0.18882847256549679,0.09626802374893978
W.P. Kuala Lumpur,2014,495200,507900,0.2491349480968858,0.1280746395250212
W.P. Kuala Lumpur,2015,507200,515200,0.3084527928818586,0.15903307888040713
W.P. Kuala Lumpur,2016,519000,522500,0.36678200692041524,0.18999151823579305
