state,year,poverty_absolute,poverty_hardcore,poverty_relative
Johor,2007,0.0592885375494071,0.0289855072463768,0.5705521472392638
Johor,2009,0.0513833992094861,0.0144927536231884,0.7546012269938651
Johor,2012,0.0355731225296442,0.0144927536231884,0.687116564417178
Johor,2014,0.0,0.0,0.3251533742331288
Johor,2016,0.0,0.0,0.5276073619631902
Johor,2019,0.1541501976284585,0.0289855072463768,0.638036809815951
Johor,2020,0.233201581027668,0.0869565217391304,0.5521472392638038
Johor,2022,0.1818181818181818,0.0144927536231884,0.6748466257668713
Kedah,2007,0.1225296442687747,0.0434782608695652,0.4233128834355829
Kedah,2009,0.2094861660079051,0.1159420289855072,0.6809815950920246
Kedah,2012,0.067193675889328,0.0144927536231884,0.7116564417177915
Kedah,2014,0.0118577075098814,0.0,0.441717791411043
Kedah,2016,0.0079051383399209,0.0,0.6748466257668713
Kedah,2019,0.3478260869565218,0.072463768115942,0.3680981595092025
Kedah,2020,0.5019762845849802,0.217391304347826,0.3128834355828221
Kedah,2022,0.3557312252964427,0.0434782608695652,0.4294478527607362
Kelantan,2007,0.2845849802371542,0.217391304347826,0.3251533742331288
Kelantan,2009,0.1897233201581027,0.144927536231884,0.3987730061349694
Kelantan,2012,0.1067193675889328,0.0434782608695652,0.5766871165644173
Kelantan,2014,0.0355731225296442,0.0289855072463768,0.4601226993865031
Kelantan,2016,0.0158102766798418,0.0144927536231884,0.441717791411043
Kelantan,2019,0.4901185770750988,0.144927536231884,0.3067484662576688
Kelantan,2020,0.8379446640316205,0.5942028985507245,0.3987730061349694
Kelantan,2022,0.5217391304347826,0.1159420289855072,0.4478527607361963
Melaka,2007,0.0711462450592885,0.0289855072463768,0.7116564417177915
Melaka,2009,0.0197628458498023,0.0144927536231884,0.6073619631901842
Melaka,2012,0.0039525691699604,0.0,0.6441717791411045
Melaka,2014,0.0039525691699604,0.0,0.2392638036809816
Melaka,2016,0.0,0.0,0.3558282208588957
Melaka,2019,0.1541501976284585,0.0434782608695652,0.7423312883435584
Melaka,2020,0.2411067193675889,0.1594202898550724,0.5828220858895706
Melaka,2022,0.1660079051383399,0.0144927536231884,0.5092024539877301
Negeri Sembilan,2007,0.0513833992094861,0.0144927536231884,0.638036809815951
Negeri Sembilan,2009,0.0276679841897233,0.0144927536231884,0.4785276073619632
Negeri Sembilan,2012,0.0197628458498023,0.0144927536231884,0.6503067484662578
Negeri Sembilan,2014,0.0158102766798418,0.0144927536231884,0.4969325153374234
Negeri Sembilan,2016,0.0079051383399209,0.0,0.6503067484662578
Negeri Sembilan,2019,0.1699604743083003,0.0579710144927536,0.4110429447852761
Negeri Sembilan,2020,0.2569169960474308,0.1739130434782608,0.3435582822085889
Negeri Sembilan,2022,0.1739130434782609,0.0144927536231884,0.5153374233128836
Pahang,2007,0.067193675889328,0.0579710144927536,0.2760736196319019
Pahang,2009,0.0830039525691699,0.0434782608695652,0.4355828220858896
Pahang,2012,0.0513833992094861,0.0289855072463768,0.4785276073619632
Pahang,2014,0.0276679841897233,0.0,0.441717791411043
Pahang,2016,0.0079051383399209,0.0,0.2024539877300613
Pahang,2019,0.1699604743083003,0.0144927536231884,0.0674846625766871
Pahang,2020,0.3478260869565218,0.144927536231884,0.1472392638036809
Pahang,2022,0.2490118577075098,0.0144927536231884,0.1717791411042944
Perak,2007,0.1343873517786561,0.1014492753623188,0.5766871165644173
Perak,2009,0.1383399209486166,0.072463768115942,0.5153374233128836
Perak,2012,0.0592885375494071,0.0289855072463768,0.8404907975460125
Perak,2014,0.0276679841897233,0.0144927536231884,0.6809815950920246
Perak,2016,0.0079051383399209,0.0,0.5644171779141105
Perak,2019,0.2885375494071146,0.072463768115942,0.392638036809816
Perak,2020,0.4505928853754941,0.217391304347826,0.3803680981595092
Perak,2022,0.2964426877470356,0.0289855072463768,0.5276073619631902
Perlis,2007,0.2687747035573122,0.2028985507246376,0.8588957055214724
Perlis,2009,0.2371541501976284,0.1159420289855072,0.7423312883435584
Perlis,2012,0.075098814229249,0.072463768115942,0.8773006134969326
Perlis,2014,0.0079051383399209,0.0,0.3190184049079754
Perlis,2016,0.0039525691699604,0.0,0.4355828220858896
Perlis,2019,0.1541501976284585,0.0434782608695652,0.4355828220858896
Perlis,2020,0.391304347826087,0.2028985507246376,0.5766871165644173
Perlis,2022,0.1581027667984189,0.0144927536231884,0.4723926380368098
Pulau Pinang,2007,0.0553359683794466,0.0144927536231884,0.6319018404907976
Pulau Pinang,2009,0.0474308300395256,0.0144927536231884,0.6441717791411045
Pulau Pinang,2012,0.0237154150197628,0.0,0.7116564417177915
Pulau Pinang,2014,0.0118577075098814,0.0,0.4601226993865031
Pulau Pinang,2016,0.0039525691699604,0.0,0.1042944785276073
Pulau Pinang,2019,0.075098814229249,0.0144927536231884,0.5092024539877301
Pulau Pinang,2020,0.1304347826086956,0.0434782608695652,0.4478527607361963
Pulau Pinang,2022,0.0790513833992094,0.0144927536231884,0.638036809815951
Sabah,2007,0.6482213438735177,0.5507246376811593,0.6687116564417179
Sabah,2009,0.7786561264822134,0.6956521739130435,0.8957055214723928
Sabah,2012,0.3201581027667984,0.2318840579710145,0.8404907975460125
Sabah,2014,0.1581027667984189,0.0869565217391304,0.6993865030674848
Sabah,2016,0.1146245059288537,0.0289855072463768,0.7791411042944787
Sabah,2019,0.7707509881422925,0.217391304347826,0.6012269938650308
Sabah,2020,1.0,0.391304347826087,0.5092024539877301
Sabah,2022,0.7786561264822134,0.1739130434782608,0.588957055214724
